,food_aspect,service_aspect,ambience_aspect
1545,Good food and drinks,"Nice place to hang out and catch up with friends, amb: Grea",Great ambience. Back to the past.
1546,"The food here was generally quite good, and the food is freshly made, and tastes delicious. ",The staff was friendly and helpful. ,Cosy cafe exuding old world rustic charm decor wise.
1547,"smoked salmon eggs benedict, Hard, tasteless, inhumane, projectiles",,
1548,The croissant with ham and cheese was delicious.,"Servers were sincere and caring., amb: Love th",Love the ambiance.
1549,'Coffee and Croissants are lovely',,"'Nice relaxing cafe', 'Nice old fashion decor'"
1550,excellent food,Great services,nice place
1551,"lemon meringue cake, merry trio latte, decent, sweet side",,"nice deco, cosy and chill vibe"
1552,Very wide spread of pastries,,Cosy space to chill
1553,"range of pastry, more option for veggie (salty ones)",Excellent service,Amazing decoration and a lot of unique/antique collection
1554,"The lunch menu is limited but it tasted okay, Rather pricy for a set lunch of 1 main, 1 drink and a mini tart, but I’d probably go back to try the pastry on my next visit. ",,"Cozy place, quaint decor."
1555,"Quality pastries, love at first taste for the 🍓🫐 tart and Croque-Monsieur",,antique themed cafe
1556,"Lemon meringue and carrot cake are rly nice, used Burpple 1-1. Banoffee was good too. Babycino was not great.",,Short walk from Beauty World MRT
1557,"bacon, eggs,",implied I was lying,
1558,"coffee is better now, previously coffee was sour, coffee tastes like how coffee should",,
1559,all parts of text ,NA ,antique shop
1560,Super super expensive ,See some part of our bill ,
1561,,"NA, amb: Instinctively liked the place when I sat on a retro metal swing outside the restaurant while waiting for my friends. Inside, th","Instinctively liked the place when I sat on a retro metal swing outside the restaurant while waiting for my friends. Inside, the ambience and deco was refreshing - reminiscent of the good old days, e.g.…"
1562,'big fan ever since',,
1563,'delicious dessert','Great place for high tea',"'Nice oldies setting, fragrant coffee'"
1564,,quick,"cool, cozy, place"
1565,"Wide selections of cakes, pastries and brunch options",Do approach counter staff,"Standout was definitely the antiques display, Do approach counter staff if you wish to purchase any ornaments"
1566,"""corn bread could be ""cornier"" and the lemon meringue cake could be ""lemonier"". It would be great if the food had more flavour.",service was friendly.,"good place to come on a rainy day and sit outdoors. Chill vibes, fairly quiet."
1567,BEST CLUB SANDWICH AND FRENCH TOAST,,
1568,Loved the tarts here! The sea salt chocolate tart & passion fruit meringue tart were both v nice.,The staff were friendly.,The interior decor is quite unique with vintage pieces.
1569,bakes are amazing,,plenty of (vintage)tables around for everyone
1570,"Good pastries here, The pain au raisin was served warmed up, It was flaky and flavourful, Scone was also warmed up and served with clotted cream and jam, Just wish that there be more jam served without the need to ask for more",Just wish that there be more jam served without the need to ask for more,
1571,Scone with the clotted butter is really good,,
1572,decent ,reliable ,chill
1573,Quiche was good,Got a complimentary takeout due to early closing for renovation,Little quaint cafe in a quiet private estate area. Love seeing antiques in a cafe 💕
1574,"Absolutely enjoyed the Croque Monsieur. Don’t be fooled by its unassuming exterior.. one bite into it and the perfect harmony of the parmesan, gouda and Dijon bursts in your mouth. Easily one of the best grilled sandwiches I’ve had! ",,
1575,"Ordered the pulled pork eggs ben and it was amazing. Pulled pork was juicy and flavoured so well, never tasted such nice cornbread before. ",NA ,enjoyed the atmosphere.
1576,"crab pasta, crab meat, authentic, fresh, tasty, served hot, pulled pork eggs ",none,none
1577,,once in a while,always crowded on weekends
1578,great food,Fantastic service,
1579,"lemony cake, peanutella cake, Nutella layer, peanut(-jam?) Layer, Enjoy, YOLO! ",,
1580,,,Nice place to chill and work
1581,,do not take credit card or Apple Pay,
1582,The food was great,"The service was good, amb: Decor an",Decor and ambience is nice with antique memorabilia scattered around the whole place.
1583,egg Benedict with 2 pieces of egg and pull pork,,
1584,"Really nice pastry, but everything else (brunch menu) was overpriced and pretty bad.",service was average at best.,The place was very chic.
1585,Amazing food,friendly and highly capable staff!,delightful cosy cafe to chill at with friends
1586,good food/coffee,"Recommended, amb: Grea",Great ambience
1587,Bread and coffee are nice,Hard to find parking here,The cafe a bit crowded
1588,"roasted pumpkin salad with cherry vinaigrette, lemon cake, coffee, make everything from scratch in cafe itself,","super great,",best cafes
1589,,,5 minutes walk from Beauty World MRT
1590,Nice coffee and pastries,,
1591,"""good food""","""fast service"", amb: ""Cos","""Cosy ambience"""
1592,Food was average & pricey. $24 plus 7% for a simple big breakfast. The only thing unique in that dish was actually the nice bread.,,Place have decor full of antiques & oldies of the 60s & 70s.
1593,"Egg benedict is superb together with the pork, but portion a bit small for the price,",and it seems they reduced from 2 egg benedict to 1 only when comparing to posts from last year (due to raising cost maybe),
1594,the bread,,
1595,pastries & coffee,pricey & perhaps more expensive than Starbucks,Packed in an early Sunday morning with families & friends gathering
1596,"Egg Benedict was alright, kids did not like the alfalfa, French toast, expectations in the both quality and quantity of fruits,","For the price they charge,",The decor of the place is quite interesting.
1597,well prepared coffee and cakes ,NA ,beautifully decorated with all sorts of old furniture from school desks and chairs to church pews to pots and pans from an era past
1598,'Food was delicious','service was friendly','ambience was great'
1599,"basil pesto pasta, croque monsieur, bread, salt, pics,","Used my entertainer app,",
1600,"Just had lunch, looking for a place for some decent sweets,",,"interior decor of the cafe, with a lot of antique collectibles, A nice"
1601,,5 stars,4.5 stars
1602,average,good,"excellent, cleanliness: very good, decor: excellent, location: great"
1603,'the food was great','the service was excellent','the atmosphere was very cozy'
1604,The cakes and tarts are to die for. Absolutely delicious.,,Great cafe situated in Bukit Timah.
1605,'tasty food','service could use a boost',
1606,'The food was delicious.' ,"'The service was great.' , amb: 'Nic",'Nice ambience.'
1607,"'cinnamon roll', 'pull pork egg benedict', 'pull pork', 'corn bread', 'overpriced' ",,
1608,'good coffee and cake',,'Cosy place'
1609,very good meal,quality time with friend was precious without much interruption,
1610,The food was good,"Good service, amb: and th",and the ambience was pleasant.
1611,,,'good place to have a coffee time'
1612,'Pastries are so so','the service was really slow','the atmosphere was really noisy'
1613,,Friendly staff,relax setting for an afternoon chill out
1614,"carbonara was $15 and the quality was amazing, i loved the poached egg and the sauce especially",,
1615,Great coffee,good service,Nice cosy place
1616,normal,,Water cup smells like butter left over
1617,"Coffee here is always consistent and done with pride. Desserts (croissants, tarts, cakes etc) are consistently good",Lovely chic and easy going cafe,local 60s-80s period decor pieces that kinda brings you back a quasi journey in time.
1618,"""the food was great""","""the service provided""",
1619,quiches and croissants,,
1620,"homemade bakes, cafe fare,",,Antique ware aesthetic cafe
1621,"'pastries variety is limited', 'The crust of tart is pretty good and fresh', 'I love the texture so much, not soft and...'  ","'Average service is pretty good especially the Chinese smiley chubby lady',","'The atmosphere is good',"
1622,nice pastries,nice service from the staff and boss,Nice place to chill
1623,Fantastic pastries,The service was great and the waiters were very friendly,The atmosphere was cozy and inviting
1624,Nice food,"NA, amb: Nic","Nice ambience, With many antiques"
1625,,Poor staff attitude.,
1626,"Club sandwiches, broccoli salad, flat white",,
1627,"sausage, bacon, mushrooms, scrambled eggs, and brioche, tomatoes/greens",warm service,
1628,"carrot cake, decent quality, Prices are high,","unlike Starbucks and CBTL,",this climate
1629,"yuzu basil, lemon meringue and salted caramel mini tarts and burnt mocha cheese cake, Loved the yuzu basil and lemon meringue tarts, cakes and pastries, tabao their pastries and cakes","ice black and my friend had flat white, Coffee was average",
1630,,'best service' and 'service recovery',
1631,Wonderful selection of tarts and pastries along with coffee.,,Nice little swing at the entrance to chill too.
1632,"worse carbonara pasta, very salty, spammed with too much cheese, egg sauce, clumpy, cheese pasta",,
